position_id,source,name,keyword,variants,alive_variants,max_local_quantity
brands:01118,brands,Arran,arran,arran,arran:14,14
brands:01119,brands,Asbach,asbach,asbach,asbach:3,3
brands:01121,brands,Axia,axia,axia,axia:14,14
brands:01122,brands,Baileys,baileys,baileys,baileys:38,38
brands:01123,brands,Balcones,balcones,balcones,balcones:16,16
brands:01126,brands,Bernal,bernal,bernal,bernal:23,23
brands:01127,brands,Bernard,bernard,bernard,bernard:253,253
brands:01129,brands,Bitter,bitter,bitter,bitter:158,158
brands:01130,brands,Blend,blend,blend,blend:220,220
brands:01131,brands,Boatyard,boatyard,boatyard,boatyard:7,7
brands:01132,brands,Borghetti,borghetti,borghetti,borghetti:2,2
brands:01134,brands,Bounty,bounty,bounty,bounty:133,133
brands:01135,brands,Bourg,bourg,bourg,bourg:73,73
brands:01140,brands,Broken Bones,broken-bones,broken-bones,broken-bones:6,6
brands:01141,brands,Brunette,brunette,brunette,brunette:61,61
brands:01142,brands,Buffalo Trace,buffalo-trace,buffalo-trace,buffalo-trace:7,7
brands:01143,brands,Bumbu,bumbu,bumbu,bumbu:11,11
brands:01145,brands,Buton,buton,buton,buton:1,1
brands:01152,brands,Casoni,casoni,casoni,casoni:1,1
brands:01158,brands,Clement,clement,clement,clement:991,991
brands:01161,brands,Conker,conker,conker,conker:3,3
brands:01164,brands,Cotswolds,cotswolds,cotswolds,cotswolds:36,36
brands:01169,brands,Dark Matter,dark-matter,dark-matter,dark-matter:21,21
brands:01171,brands,Deadhead,deadhead,deadhead,deadhead:5,5
brands:01174,brands,Dorda,dorda,dorda,dorda:3,3
brands:01176,brands,Dubliner,dubliner,dubliner,dubliner:1,1
brands:01178,brands,Edinburgh,edinburgh,edinburgh,edinburgh:410,410
brands:01181,brands,Elephant,elephant,elephant,elephant:206,206
brands:01182,brands,Elisir,elisir,elisir,elisir:15,15
brands:01186,brands,Evangelista,evangelista,evangelista,evangelista:21,21
brands:01187,brands,Eve,eve,eve,eve:219,219
brands:01189,brands,Fair,fair,fair,fair:697,697
brands:01190,brands,Fallen Angel,fallen-angel,fallen-angel,fallen-angel:5,5
brands:01191,brands,Ferrand,ferrand,ferrand,ferrand:119,119
brands:01193,brands,Fireball,fireball,fireball,fireball:46,46
brands:01195,brands,Florida,florida,florida,florida:3608,3608
brands:01200,brands,Gator Bite,gator-bite,gator-bite,gator-bite:1,1
brands:01203,brands,Giffard,giffard,giffard,giffard:1,1
brands:01205,brands,Glenfiddich,glenfiddich,glenfiddich,glenfiddich:2,2
brands:01214,brands,High Fidelity,high-fidelity,high-fidelity,high-fidelity:8,8
brands:01218,brands,Jack Daniel's,jack-daniels,jack-daniels|jd,jack-daniels:42|jd:112,112
brands:01219,brands,Jade,jade,jade,jade:301,301
brands:01222,brands,Jim Beam,jim-beam,jim-beam,jim-beam:4,4
brands:01223,brands,John O'Groat's,john-ogroats,john-ogroats,john-ogroats:3,3
brands:01224,brands,Johnnie Walker,johnnie-walker,johnnie-walker,johnnie-walker:9,9
brands:01226,brands,Kalani,kalani,kalani,kalani:5,5
brands:01232,brands,Kleos,kleos,kleos,kleos:2,2
brands:01233,brands,Kota,kota,kota,kota:117,117
brands:01234,brands,La,la,la,la:70081,70081
brands:01242,brands,Le Verger,le-verger,le-verger,le-verger:1,1
brands:01243,brands,Legendario,legendario,legendario,legendario:8,8
brands:01244,brands,Legendre,legendre,legendre,legendre:2,2
brands:01248,brands,Lindisfarne,lindisfarne,lindisfarne,lindisfarne:3,3
brands:01251,brands,Mamma Mia,mamma-mia,mamma-mia,mamma-mia:57,57
brands:01252,brands,Mandarine,mandarine,mandarine,mandarine:2,2
brands:01258,brands,Masumi,masumi,masumi,masumi:2,2
brands:01262,brands,Midnight Oil,midnight-oil,midnight-oil,midnight-oil:5,5
brands:01263,brands,Molinari,molinari,molinari,molinari:9,9
brands:01264,brands,Monkey 47,monkey-47,monkey-47,monkey-47:2,2
