keyword,mode,n_positions
storm,m,5
sub-zero,m,5
sunset-red,m,5
swan,m,5
switchback,m,5
table,m,5
teignworthy,m,5
ten,m,5
thomas-creek,m,5
thunder,m,5
traquair,m,5
traverse-brewing,m,5
trinity,m,5
tropical,m,5
tun,m,5
turks-head,m,5
tyemnoye,m,5
uncle-bucks,m,5
ursus,m,5
watermelon,m,5
weasel-boy,m,5
wedge,m,5
welde,m,5
wensleydale,m,5
west-coast-wheat,m,5
white-rabbit,m,5
wild-rose,m,5
wildberry,m,5
winter-wonder,m,5
wintercoat,m,5
witches-brew,m,5
wolferstetter,m,5
wooden-shoe,m,5
yukon,m,5
zephyr,m,5
zillertal,m,5
2nd-anniversary,m,4
471,m,4
5th-anniversary,m,4
961,m,4
achievement-beyond-lifes-experiences,m,4
ackermans-imperial-double,m,4
airbrau,m,4
all-american,m,4
alpha,m,4
ambrosia,m,4
american-strong,m,4
amnesia,m,4
antler,m,4
anvil,m,4
apa,m,4
appalachian-pale,m,4
ariana,m,4
astika,m,4
atlantic,m,4
atomic,m,4
australian,m,4
backdraft,m,4
backyard,m,4
bamberger,m,4
bandit,m,4
banks,m,4
bare-bones,m,4
bavarian-wheat,m,4
beach-blonde,m,4
beer-geek-brunch-weasel,m,4
bees-knees,m,4
belgian-amber,m,4
belgian-black,m,4
belgian-golden-strong,m,4
belgian-grand-cru,m,4
belgian-rye,m,4
belgian-style-abbey,m,4
belgian-triple,m,4
big-horn-blonde,m,4
big-house,m,4
big-nose,m,4
billabong,m,4
bionda,m,4
black-bull,m,4
black-death,m,4
black-eye,m,4
black-eye-pa,m,4
black-horse,m,4
black-lab,m,4
black-prince,m,4
black-rabbit,m,4
black-raven,m,4
black-river,m,4
black-tot,m,4
black-watch,m,4
blackfoot-river,m,4
blacksmith,m,4
blizzard,m,4
blue-diamond,m,4
boheme,m,4
boliarka,m,4
boss,m,4
boston,m,4
bourbon-barrel-scotch,m,4
bow-valley-brown,m,4
boyntons,m,4
brahma,m,4
brauhaus-mitte,m,4
braumeister,m,4
brok,m,4
bronze,m,4
brown-eyed-girl,m,4
brunette,m,4
bubes,m,4
buffalo-bills,m,4
bull-falls,m,4
bullfrog,m,4
caledonian,m,4
california,m,4
california-pale,m,4
capitol,m,4
cardinal,m,4
carling,m,4
cascadian,m,4
castlemaine,m,4
catena-zapata,m,4
celis,m,4
challenger,m,4
chateau-beausejour,m,4
chateau-bellegrave,m,4
chateau-saint-pierre,m,4
chevalier,m,4
chico,m,4
chipinque,m,4
chocolate-orange,m,4
chocolate-raspberry,m,4
chocolate-thunder,m,4
chodovar,m,4
christmas-ale-2008,m,4
christmas-ale-2009,m,4
christmas-cheer,m,4
chronic,m,4
citrus,m,4
claymore,m,4
coldstream,m,4
columbus-pale,m,4
continuum,m,4
dales-pale,m,4
dark-knight,m,4
das-ambrausianum,m,4
de-la-grange,m,4
demolition,m,4
devils-advocate,m,4
distelhauser,m,4
dithmarscher,m,4
dockside,m,4
domaine-de-la-grange,m,4
doppel,m,4
dorado,m,4
double-brown,m,4
double-d,m,4
double-pale,m,4
double-rainbow,m,4
dragonfly,m,4
draught,m,4
dreher,m,4
duckstein,m,4
duclaw,m,4
edge-city,m,4
elemental,m,4
embers,m,4
english-dark,m,4
english-summer,m,4
enigma,m,4
envy,m,4
euphoria,m,4
even-keel,m,4
falls,m,4
fat-boy,m,4
fest-devious,m,4
festival,m,4
filthy-blonde,m,4
firefly,m,4
flyers,m,4
flying-monkey,m,4
forbidden-fruit,m,4
fraile,m,4
fresh-hop-pale,m,4
frey,m,4
frog-island,m,4
fuel,m,4
generation,m,4
german-style,m,4
german-wheat,m,4
golden-spike,m,4
gordo,m,4
graduation,m,4
grafton-brewhaus,m,4
grauballe,m,4
great,m,4
grid-iron,m,4
grumpy,m,4
habanero,m,4
half,m,4
hammer,m,4
hancock,m,4
harrisons,m,4
hartwall,m,4
hawaii-nui,m,4
hawthorn-brewing,m,4
helderbrau,m,4
helios,m,4
heller,m,4
hellesbock,m,4
helltown,m,4
hersbrucker,m,4
hertog-jan,m,4
high-country,m,4
high-five,m,4
highlander-scottish,m,4
hip-hop,m,4
hockley,m,4
hocus-pocus,m,4
hofbrau,m,4
hofbrauhaus-berchtesgaden,m,4
hogs-back,m,4
holgate,m,4
holiday-spice,m,4
honey-amber,m,4
honey-blond,m,4
honeymoon-wheat,m,4
hop-goddess,m,4
hop-soup,m,4
hopfest,m,4
hoppy-holidays,m,4
hoppy-holidaze,m,4
hops-barley,m,4
horizon,m,4
hoster,m,4
huckleberry,m,4
il-vicino,m,4
imperial-amber,m,4
imperial-chocolate,m,4
imperial-india-pale,m,4
imperial-wheat,m,4
india-black,m,4
innis-gunn,m,4
irish-style,m,4
irseer,m,4
island,m,4
j,m,4
james-brown,m,4
jennings,m,4
john-smiths,m,4
jubilee,m,4
kelso,m,4
keo,m,4
kerstbier,m,4
kingston,m,4
kissmeyer,m,4
kokopelli,m,4
kraken,m,4
kristal,m,4
kristall,m,4
kristalweizen,m,4
krug,m,4
lab,m,4
lake-on-the-mountain,m,4
lambic,m,4
lambree,m,4
las-cumbres,m,4
late-harvest,m,4
les,m,4
liquid-sunshine,m,4
little-korkny,m,4
lords,m,4
lucky,m,4
lunar,m,4
mad-cow,m,4
mammoth,m,4
maple-brown,m,4
mardi-gras,m,4
mariposa,m,4
martin,m,4
martini,m,4
marzonis,m,4
maverick,m,4
may,m,4
mcauslan,m,4
mccoys,m,4
menage-a-trois,m,4
michel,m,4
michelob,m,4
middle-villa,m,4
minoh,m,4
mischief,m,4
mojo,m,4
monumental,m,4
moonshine,m,4
mora,m,4
morro-bay,m,4
mulholland,m,4
muller,m,4
mythos,m,4
nail,m,4
navidad,m,4
navigator,m,4
new-zealand,m,4
newport,m,4
nickel-brook,m,4
nitro-cream,m,4
no-name,m,4
noel,m,4
noire,m,4
northstar,m,4
nutcracker,m,4
oatmeal-pale,m,4
old-chimneys,m,4
old-credit,m,4
old-dominion,m,4
old-north-state,m,4
olvisholt,m,4
original-oettinger,m,4
oscura,m,4
pacific-pale,m,4
palmer,m,4
papier,m,4
patriot-pale,m,4
pc,m,4
