keyword,n_positions,local_quantity
hell,5,385
henninger,5,1
hirsch,5,21
hockley-valley,5,0
holgate-brewhouse,5,0
honey-pale,5,0
honey-raspberry,5,0
hopdaemon,5,0
hoppopotamus,5,0
hopshackle,5,0
house,5,8880
hyde-park,5,47
illuminator,5,5
ilzer,5,3
imperial-oatmeal,5,0
imperial-russian,5,0
india-brown,5,0
industrial,5,797
iron-hill,5,0
j-j,5,23
j-w-lees,5,0
jasper-murdocks,5,0
jeremiah-red,5,0
jim,5,606
kauzen,5,0
kloster,5,11
konig,5,25
kostritzer,5,0
kozlak,5,0
krynitsa,5,0
lake-placid,5,31
landbier,5,0
landmark,5,130
lemon,5,1384
leroy,5,258
licher,5,4
lights-out,5,32
lillehammer,5,8
limburg,5,62
little-dog,5,2
london-calling,5,8
luna,5,577
magnum,5,182
maisel,5,180
mcguires-irish,5,0
mexican,5,757
meyer,5,126
mikes,5,85
mocha-java,5,1
monster-mash,5,1
moosejaw,5,0
morning-wood,5,7
mystic,5,190
natural-blonde,5,0
nelson-sauvin,5,0
new-world,5,236
north-peak,5,0
northwest,5,293
notch,5,60
oak-aged-imperial,5,0
ocean,5,1069
olde,5,25
opa-opa,5,0
orange-blossom,5,3
organic-pale,5,0
paradise-pale,5,0
peschl-brau,5,0
piedmont,5,93
portland,5,611
primus,5,11
pub,5,933
pullman,5,44
pumpkinfest,5,0
pumpkinhead,5,3
purple-haze,5,5
raven,5,176
rebel,5,231
red-baron,5,4
red-dawn,5,14
redhead,5,28
ringnes,5,0
rock,5,3040
roggen,5,1
rother-valley,5,0
san-marcos,5,65
sandy-paws,5,0
santa-fe,5,272
saxer,5,0
schooner,5,27
shot-in-the-dark,5,6
sierra-blanca,5,0
siletz,5,0
single-malt,5,28
smoke,5,358
smokehouse,5,21
sonoran,5,16
special-pale,5,0
spezial,5,36
spinnakers,5,0
spruce,5,102
star,5,11390
stateside,5,2
steam-exchange,5,0
steelback,5,0
storm,5,765
sub-zero,5,15
sunset-red,5,2
swan,5,183
switchback,5,11
table,5,2245
teignworthy,5,0
ten,5,1774
thomas-creek,5,0
thunder,5,387
traquair,5,5
traverse-brewing,5,0
trinity,5,197
tropical,5,313
tun,5,409
turks-head,5,0
tyemnoye,5,0
uncle-bucks,5,0
ursus,5,39
watermelon,5,176
weasel-boy,5,0
wedge,5,99
welde,5,0
wensleydale,5,1
west-coast-wheat,5,0
white-rabbit,5,7
wild-rose,5,8
wildberry,5,4
winter-wonder,5,0
wintercoat,5,0
witches-brew,5,1
wolferstetter,5,0
wooden-shoe,5,1
yukon,5,79
zephyr,5,30
zillertal,5,5
2nd-anniversary,4,5
471,4,55
5th-anniversary,4,1
961,4,46
achievement-beyond-lifes-experiences,4,0
ackermans-imperial-double,4,0
airbrau,4,0
all-american,4,480
alpha,4,903
ambrosia,4,24
american-strong,4,0
amnesia,4,47
antler,4,16
anvil,4,22
apa,4,209
appalachian-pale,4,0
ariana,4,334
astika,4,2
atlantic,4,925
atomic,4,137
australian,4,788
backdraft,4,20
backyard,4,667
bamberger,4,4
bandit,4,93
banks,4,574
bare-bones,4,8
bavarian-wheat,4,0
beach-blonde,4,0
beer-geek-brunch-weasel,4,0
bees-knees,4,10
belgian-amber,4,0
belgian-black,4,1
belgian-golden-strong,4,0
belgian-grand-cru,4,0
belgian-rye,4,0
belgian-style-abbey,4,0
belgian-triple,4,0
big-horn-blonde,4,0
big-house,4,3
big-nose,4,0
billabong,4,6
bionda,4,3
black-bull,4,17
black-death,4,16
black-eye,4,6
black-eye-pa,4,0
black-horse,4,2
black-lab,4,12
black-prince,4,5
black-rabbit,4,1
black-raven,4,1
black-river,4,11
black-tot,4,1
black-watch,4,1
blackfoot-river,4,0
blacksmith,4,34
blizzard,4,246
blue-diamond,4,7
boheme,4,25
boliarka,4,0
boss,4,2480
boston,4,1452
bourbon-barrel-scotch,4,0
bow-valley-brown,4,0
boyntons,4,0
brahma,4,15
brauhaus-mitte,4,0
braumeister,4,0
brok,4,0
bronze,4,190
brown-eyed-girl,4,1
brunette,4,61
bubes,4,0
buffalo-bills,4,138
bull-falls,4,0
bullfrog,4,2
caledonian,4,7
california,4,2735
california-pale,4,0
capitol,4,265
cardinal,4,85
carling,4,16
cascadian,4,0
castlemaine,4,1
catena-zapata,4,2
celis,4,11
challenger,4,393
chateau-beausejour,4,0
chateau-bellegrave,4,0
chateau-saint-pierre,4,0
chevalier,4,35
chico,4,144
chipinque,4,0
chocolate-orange,4,5
chocolate-raspberry,4,18
chocolate-thunder,4,0
chodovar,4,0
christmas-ale-2008,4,0
christmas-ale-2009,4,0
christmas-cheer,4,1
chronic,4,194
citrus,4,120
claymore,4,21
coldstream,4,5
columbus-pale,4,0
continuum,4,32
dales-pale,4,0
dark-knight,4,134
das-ambrausianum,4,0
de-la-grange,4,0
demolition,4,128
devils-advocate,4,3
distelhauser,4,0
dithmarscher,4,0
dockside,4,10
domaine-de-la-grange,4,0
doppel,4,17
dorado,4,113
double-brown,4,0
double-d,4,3
double-pale,4,0
double-rainbow,4,1
dragonfly,4,66
draught,4,4
dreher,4,2
duckstein,4,0
duclaw,4,0
edge-city,4,1
elemental,4,277
embers,4,26
english-dark,4,0
english-summer,4,1
enigma,4,81
envy,4,73
euphoria,4,750
even-keel,4,0
falls,4,1214
fat-boy,4,23
fest-devious,4,0
festival,4,4441
filthy-blonde,4,0
firefly,4,129
flyers,4,106
flying-monkey,4,0
forbidden-fruit,4,7
fraile,4,11
fresh-hop-pale,4,0
frey,4,43
frog-island,4,0
fuel,4,1060
generation,4,1454
german-style,4,1
german-wheat,4,0
golden-spike,4,0
gordo,4,57
graduation,4,819
grafton-brewhaus,4,0
grauballe,4,0
great,4,3629
grid-iron,4,0
grumpy,4,22
habanero,4,14
half,4,1283
hammer,4,374
hancock,4,42
harrisons,4,10
hartwall,4,0
hawaii-nui,4,0
hawthorn-brewing,4,0
helderbrau,4,0
helios,4,31
heller,4,26
hellesbock,4,0
helltown,4,0
hersbrucker,4,0
hertog-jan,4,1
high-country,4,17
high-five,4,13
highlander-scottish,4,0
hip-hop,4,363
hockley,4,9
hocus-pocus,4,28
hofbrau,4,0
hofbrauhaus-berchtesgaden,4,0
hogs-back,4,1
holgate,4,1
holiday-spice,4,0
honey-amber,4,0
honey-blond,4,0
honeymoon-wheat,4,0
hop-goddess,4,0
hop-soup,4,0
hopfest,4,0
hoppy-holidays,4,0
hoppy-holidaze,4,0
hops-barley,4,0
horizon,4,683
hoster,4,8
huckleberry,4,12
il-vicino,4,6
imperial-amber,4,0
imperial-chocolate,4,0
imperial-india-pale,4,0
imperial-wheat,4,0
india-black,4,1
innis-gunn,4,0
irish-style,4,0
irseer,4,0
island,4,3837
j,4,2616
james-brown,4,14
jennings,4,93
john-smiths,4,1
jubilee,4,83
kelso,4,23
keo,4,27
kerstbier,4,0
kingston,4,171
kissmeyer,4,0
kokopelli,4,1
kraken,4,79
kristal,4,20
kristall,4,14
kristalweizen,4,0
krug,4,21
lab,4,810
lake-on-the-mountain,4,0
lambic,4,1
lambree,4,0
las-cumbres,4,4
late-harvest,4,0
les,4,19944
liquid-sunshine,4,0
little-korkny,4,0
lords,4,143
