position_id,source,name,keyword,tier,optional,decision,reason,df,opt_recall
brands:00642,brands,Kahlúa,kahlua,drop,,drop,opt_recall<2,7,1
brands:00646,brands,Kapali Coffee Liqueur,kapali,drop,,drop,opt_recall<2,18,0
brands:00655,brands,Sabroso,sabroso,drop,,drop,opt_recall<2,17,0
brands:00656,brands,Sheridan's,sheridans,drop,,drop,opt_recall<2,3,0
brands:00662,brands,Toussaint Coffee Liqueur,toussaint,drop,,drop,opt_recall<2,12,0
brands:00663,brands,B52 Coffee Liqueur,b52,drop,,drop,opt_recall<2,2,0
brands:00664,brands,Advocaat,advocaat,drop,,drop,opt_recall<2,8,0
brands:00665,brands,Amarula,amarula,drop,,drop,opt_recall<2,1,0
brands:00666,brands,Baileys Irish Cream,baileys-irish,drop,,drop,opt_recall<2,1,0
brands:00674,brands,Heather Cream,heather,drop,,drop,DF>cap_pospolite,326,0
brands:00676,brands,Malibu,malibu,keep,liqueur|licor|likor|liquore|west|indies|rum|distillery|allied|domecq,keep,required+optional@1,182,4
brands:00677,brands,Ponche crema,ponche-crema,drop,,drop,opt_recall<2,1,0
brands:00679,brands,RumChata,rumchata,drop,,drop,opt_recall<2,5,0
brands:00685,brands,Voodoo Cream Liqueur,voodoo,drop,,drop,opt_recall<2,53,0
brands:00686,brands,Crème de banane,creme-de-banane,drop,,drop,opt_recall<2,1,0
brands:00687,brands,Crème de cacao,creme-de-cacao,drop,,drop,opt_recall<2,1,0
brands:00690,brands,Crème de menthe,creme-de-menthe,drop,,drop,opt_recall<2,1,0
brands:00695,brands,Rosolio,rosolio,drop,,drop,opt_recall<2,1,0
brands:00696,brands,Italicus,italicus,drop,,drop,opt_recall<2,2,0
brands:00697,brands,St-Germain,st-germain,drop,,drop,opt_recall<2,10,0
brands:00698,brands,Chambord,chambord,drop,,drop,opt_recall<2,9,1
brands:00700,brands,Hideous,hideous,drop,,drop,opt_recall<2,9,0
brands:00701,brands,Lakka,lakka,drop,,drop,opt_recall<2,1,0
brands:00702,brands,Lillehammer,lillehammer,drop,,drop,opt_recall<2,8,0
brands:00703,brands,Mirto,mirto,drop,,drop,opt_recall<2,2,0
brands:00706,brands,XUXU,xuxu,drop,,drop,opt_recall<2,1,0
brands:00711,brands,Maraschino,maraschino,drop,,drop,opt_recall<2,2,0
brands:00713,brands,Aurum,aurum,drop,,drop,opt_recall<2,4,0
brands:00714,brands,Cointreau,cointreau,drop,,drop,opt_recall<2,9,0
brands:00715,brands,Curaçao,curacao,drop,,drop,opt_recall<2,50,0
brands:00717,brands,Grand Marnier,grand-marnier,drop,,drop,opt_recall<2,3,0
brands:00719,brands,Hesperidina,hesperidina,drop,,drop,opt_recall<2,1,0
brands:00721,brands,Triple sec,triple-sec,smiec,,drop,styl/generyk,3,0
brands:00723,brands,99 Schnapps,99-schnapps,drop,,drop,opt_recall<2,1,0
brands:00726,brands,Licor 43,licor-43,drop,,drop,opt_recall<2,2,0
brands:00733,brands,Limoncello,limoncello,drop,,drop,opt_recall<2,58,1
brands:00734,brands,Manzana verde,manzana-verde,drop,,drop,opt_recall<2,1,0
brands:00736,brands,Midori,midori,drop,,drop,opt_recall<2,16,0
brands:00738,brands,Pama,pama,drop,,drop,opt_recall<2,2,0
brands:00741,brands,Pucker,pucker,drop,,drop,opt_recall<2,2,0
brands:00742,brands,Rhythm,rhythm,drop,,drop,opt_recall<2,81,0
brands:00743,brands,Sloe gin,sloe-gin,drop,,drop,opt_recall<2,2,0
brands:00744,brands,Soho,soho,drop,,drop,opt_recall<2,82,0
brands:00747,brands,Umeshu,umeshu,drop,,drop,opt_recall<2,1,0
brands:00750,brands,Anís,anis,drop,,drop,opt_recall<2,13,0
brands:00754,brands,Galliano,galliano,drop,,drop,opt_recall<2,8,0
brands:00757,brands,Pastis,pastis,drop,,drop,opt_recall<2,7,0
brands:00759,brands,Ricard,ricard,drop,,drop,opt_recall<2,20,0
brands:00760,brands,Sambuca,sambuca,drop,,drop,opt_recall<2,3,0
brands:00764,brands,Cucui,cucui,drop,,drop,opt_recall<2,1,0
brands:00768,brands,Amaro,amaro,drop,,drop,opt_recall<2,69,0
brands:00770,brands,Beirão,beirao,drop,,drop,opt_recall<2,3,0
brands:00771,brands,Bénédictine,benedictine,drop,,drop,opt_recall<2,4,0
brands:00774,brands,Canton,canton,drop,,drop,opt_recall<2,148,0
brands:00775,brands,Chartreuse,chartreuse,keep,liqueur|licor|likor|liquore,keep,required+optional@1,11,2
brands:00780,brands,Fernet,fernet,drop,,drop,opt_recall<2,1,0
brands:00784,brands,Jägermeister,jagermeister,drop,,drop,opt_recall<2,13,0
brands:00789,brands,Mamajuana,mamajuana,drop,,drop,opt_recall<2,3,0
brands:00790,brands,Mastica,mastica,drop,,drop,opt_recall<2,2,0
brands:00792,brands,Menta,menta,keep,liqueur|licor|likor|liquore,keep,required+optional@1,38,3
brands:00793,brands,Metaxa,metaxa,drop,,drop,opt_recall<2,2,0
brands:00794,brands,Minttu,minttu,drop,,drop,opt_recall<2,1,0
brands:00797,brands,Strega,strega,drop,,drop,opt_recall<2,12,0
brands:00800,brands,Unicum,unicum,drop,,drop,opt_recall<2,14,0
brands:00810,brands,Amaretto,amaretto,drop,,drop,opt_recall<2,22,1
brands:00811,brands,Disaronno,disaronno,drop,,drop,opt_recall<2,2,1
brands:00815,brands,Nocino,nocino,drop,,drop,opt_recall<2,3,1
brands:00817,brands,Peanut liqueur,peanut,drop,,drop,DF>cap_pospolite,663,0
brands:00821,brands,Rivulet,rivulet,drop,,drop,opt_recall<2,1,0
brands:00827,brands,Fireball Cinnamon Whisky,fireball-cinnamon,drop,,drop,opt_recall<2,1,1
brands:00831,brands,Heaven Hill,heaven-hill,drop,,drop,opt_recall<2,4,1
brands:00840,brands,Orangerie,orangerie,drop,,drop,opt_recall<2,8,0
brands:00844,brands,Southern Comfort,southern-comfort,drop,,drop,opt_recall<2,5,0
brands:00845,brands,Sweet Revenge,sweet-revenge,drop,,drop,opt_recall<2,158,0
brands:00846,brands,The Knot,the-knot,drop,,drop,opt_recall<2,23,0
brands:00847,brands,Wallace Liqueur,wallace,drop,,drop,DF>cap_pospolite,221,0
brands:00849,brands,After Shock,after-shock,drop,,drop,opt_recall<2,3,0
brands:00850,brands,Agnes,agnes,drop,,drop,opt_recall<2,59,0
brands:00852,brands,Armada,armada,drop,,drop,opt_recall<2,106,0
brands:00857,brands,Campari,campari,drop,,drop,opt_recall<2,9,1
brands:00859,brands,Damiana,damiana,drop,,drop,opt_recall<2,6,0
brands:00860,brands,Gabriel,gabriel,drop,,drop,DF>cap_pospolite,424,0
brands:00870,brands,Mesi,mesi,drop,,drop,DF>cap_pospolite,277,0
brands:00873,brands,Returner,returner,drop,,drop,opt_recall<2,7,0
brands:00874,brands,Qi,qi,smiec,,drop,token<=2,131,0
brands:00886,brands,2 Towns Ciderhouse,2-towns-ciderhouse,drop,,drop,opt_recall<2,2,0
brands:00888,brands,Ace Cider,ace,drop,,drop,DF>cap_pospolite,642,0
brands:00889,brands,Angry Orchard,angry-orchard,drop,,drop,opt_recall<2,1,0
brands:00890,brands,Arsenal Cider House,arsenal,drop,,drop,DF>cap_pospolite,1234,0
brands:00892,brands,Bantam Cider,bantam,drop,,drop,opt_recall<2,34,0
brands:00893,brands,Black Star,black-star,drop,,drop,opt_recall<2,4,0
brands:00894,brands,Blackthorn Cider,blackthorn,drop,,drop,opt_recall<2,2,0
brands:00896,brands,Brothers Cider,brothers,drop,,drop,DF>cap_pospolite,817,0
brands:00897,brands,H. P. Bulmer,bulmers,drop,,drop,opt_recall<2,1,0
brands:00898,brands,Lost Boy Cider,lost-boy,drop,,drop,opt_recall<2,4,0
brands:00899,brands,Bulmers,bulmers,drop,,drop,opt_recall<2,1,0
