wikidata,name,aliases,types,makers,countries
Q1813698,Imperial,Cerveza Imperial,alcohol brand | beer brand,Florida Ice & Farm Co.,Costa Rica
Q16545279,Curtius,,brew | malt beverage | commodity | beer,Brasserie C,
Q16821377,list of Molson Coors brands,,Wikimedia internal item | Wikimedia article page | list | Wikimedia list article,,
Q16825057,Amrut,,drink | alcoholic beverage,Amrut Distilleries,
Q16827546,Blackwell Rum,,juridical person | organization | business,,Jamaica
Q16828329,Broo Brewery,,legal person | organization | company,,
Q16829888,Colonial Brewing Company,,brewery | microbrewery,,
Q16833607,Arette,,artificial object | brand,,Mexico
Q16836115,Avion tequila,,trademark | alcoholic beverage | alcohol brand | drink brand,,Mexico
Q16851019,Camden Town Brewery,,legal person | organization | company,,
Q16852248,Carlton Cold,,food and beverage | liquid | drink,,
Q16899043,Queensland Brewery Ltd,,food manufacturer | factory | brewery,,
Q16909187,Cool Ridge,,,,
Q16916607,Stadtbrauerei Spalt,,food manufacturer | factory | brewery,,
Q16927576,Kessler Whiskey,,food and beverage | liquid | drink,Suntory Global Spirits,
Q16928082,KB Lager,,alcohol brand | beer brand,,
Q16932183,South Australian Brewing Company,,food manufacturer | factory | brewery,,
Q16933188,Storz Brewing Company,,legal person | organization | company,,
Q16934773,Moyet,,,,
Q16935186,Inner Circle Rum,,juridical person | organization | business,,
Q16938593,Carlton Black,,alcohol brand | beer brand,Carlton & United Breweries,
Q16944345,Malesan,,,,
Q16947413,Lunazul,,,,Mexico
Q16953096,Molson Canadian 67,,alcohol brand | beer brand,,
Q16960614,Vok Beverages,,juridical person | organization | business,,
Q16964280,Jax Beer,,,,
Q16967100,"Castlemaine Brewery, Western Australia",,juridical person | organization | business,,
Q16971174,Aviation American Gin,,mark | trademark,,
Q16971600,Black Dog Scotch Whisky,,food and beverage | liquid | drink | trademark | alcoholic beverage | alcohol brand | drink brand,United Spirits Limited,Scotland
Q16974014,Domaine Pinnacle Ice Cider,,,,Quebec
Q16984729,Boddingtons Bitter,,food and beverage | liquid | drink,Anheuser-Busch InBev,
Q16985295,Champagne Brimoncourt,,,,
Q16987238,Christian Schmidt Brewing Company,,food manufacturer | factory | brewery,,
Q16987589,Antiquity,,food and beverage | liquid | drink,United Spirits Limited,India
Q16987733,Blenders Pride,,food and beverage | liquid | drink,Pernod Ricard,India
Q16988774,Director's Special,,food and beverage | liquid | drink,United Spirits Limited,India
Q16994360,Houston Brewing Company,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q285480,Baileys Irish Cream,Baileys,alcohol brand | drink brand | trademark | alcoholic beverage | mark,Diageo,Ireland
Q288727,Sapporo Breweries,Sapporo Brewery,enterprise | business | juridical person | organization | food manufacturer | factory | brewery,,Japan
Q1976480,Khortytsa,Khortytsya | Khortytsa Distillery | Khortytsia,manufacturer | provider | juridical person | organization | business | facility | architectural structure | factory | distillery,,
Q1981667,Brewmeister Brewery,Brewmeister,food manufacturer | factory | brewery,,
Q1981682,Burgundy of Flanders (beer),Bourgogne des Flandres,beer brand | alcohol brand,Bourgogne des Flandres brewery | Timmermans brewery,Belgium
Q2045297,Pabst Blue Ribbon,PBR | Pabst,beer brand | alcohol brand | mark | trademark,Pabst Brewing Company,
Q2060769,Beijing Yanjing Brewery,"Beijing Yanjing Brewery Co.,Ltd. | Yanjing Beer",juridical person | organization | business | enterprise | joint-stock company | public company,,
Q2072541,Royal Swinkels,Swinkels Family Brewers | Bavaria Brewery,food manufacturer | factory | brewery,,
Q2924024,Brasserie Nationale d'Haiti,"BRANA, S.A. | Brasserie Nationale d'Haiti, S.A.",enterprise | organization | business | juridical person | food manufacturer | factory | brewery,,
Q2924047,Brasserie de Saint-Sylvestre,Brasserie de Saint Sylvestre,food manufacturer | factory | brewery,,
Q2935472,Campari Soda,Camparisoda | CampariSoda,mark | trademark,,
Q2948612,Chanoine Frères,Chanoine Freres,viticulture plant | estate | winery,,
Q2948618,Delamotte Champagne,Delamotte Père & Fils,champagne house | food manufacturer | winery | viticulture plant | estate,,
Q2948621,Abelé,Abele,viticulture plant | estate | winery,,
Q2948630,Thiénot,Thienot,viticulture plant | estate | winery,,
Q3024535,Desnoes & Geddes,D&G | Desnoes and Geddes Limited,enterprise | organization | business | juridical person | food manufacturer | factory | brewery,,
Q19571615,Emperador Inc.,"EMI | Emperador Brandy | Emperador Distillers, Inc.",business | company | holding company,,
Q21158111,China Resources Beer,China Resources Beer (Holdings) Company Limited | China Resources Beer (Holdings) | CR Snow,organization | juridical person | business | enterprise | joint-stock company | public company,,
Q21286736,Samuel Adams,Sam Adams,beer brand | alcohol brand,Boston Beer Company,
Q22236270,Two Fingers Brewing Co.,Two Fingers Brewery,juridical person | organization | business | food manufacturer | factory | brewery,,
Q23461567,Francis Pétret,Champagne Francis Pétret,legal person | organization | company,,
Q24648520,Small Town Brewery,Not Your Father's,legal person | organization | company | food manufacturer | factory | brewery,,
Q25302580,San Miguel Brewery,San Miguel Brewery Inc.,food manufacturer | factory | brewery,,
Q194297,Guinness,Arthur Guinness Son & Co. | Guinness & Co.,beer brand | alcohol brand | juridical person | high fermentation beer | stout | mark | trademark | organization | business,Diageo,Ireland
Q204880,Licher Brewery,Licher Privatbrauerei | Licher Privatbrauerei Ihring-Melchior GmbH,food manufacturer | factory | brewery,,
Q204901,Taittinger,Champagne Taittinger,juridical person | organization | business | viticulture plant | estate | winery,,
Q205601,Oriental Brewery,Cass Fresh,juridical person | organization | business,,
Q256392,Löwenbräu Brewery,Löwenbräu | Löwenbräu AG,food manufacturer | factory | brewery,,Germany
Q268267,Old Bushmills Distillery,Bushmills | Old Bushmills,whisky distillery | distillery,,
Q268792,Codorníu Winery,Codorniu | Codorníu | Codorniu Winery,company | wine company,,
Q278905,A. Le Coq,A Le Coq,enterprise | business | food manufacturer | factory | brewery,,
Q2168523,The Famous Grouse,Famous Grouse,alcohol brand | drink brand | trademark | alcoholic beverage | blended whiskey | whisky,,
Q2289193,Sierra Nevada Brewing Company,Sierra Nevada Brewing Co.,food manufacturer | factory | brewery,,
Q2360702,Störtebeker Braumanufaktur,Störtebeker Braumanufaktur GmbH | Stralsunder Brauerei GmbH,juridical person | organization | business | food manufacturer | factory | brewery,,
Q2401562,Perrier-Jouët,Champagne Perrier-Jouët,corporate body | person or organization | group of humans | social system | complex system | organization,,France
Q2422815,Louis Roederer cuvée Cristal,Louis Roederer cuvee Cristal,French wine | sparkling wine | champagne,Champagne Louis Roederer,
Q2426375,Coopers Brewery,Coopers | Coopers Brewery Limited | Coopers Brewery Ltd,food manufacturer | factory | brewery,,
Q2538109,Victoria Bitter,VB,brew | malt beverage | commodity | beer | mark | trademark,Carlton & United Breweries,
Q2559672,Boddingtons Brewery,Boddington's Brewery,juridical person | organization | business,,
Q2587685,Gorbatschow,Wodka Gorbatschow,liquor | vodka,Henkell & Co. Sektkellerei,Berlin
Q2725745,Rhum Barbancourt,"Société du Rhum Barbancourt, T. Gardère & Cie",enterprise | business | juridical person | organization,,
Q187155,Tanqueray,,alcohol brand | drink brand | trademark | alcoholic beverage | mark,Diageo,England
Q222787,Jim Beam,,alcohol brand | whisky distillery | distillery | drink brand | trademark | alcoholic beverage | mark,Suntory Global Spirits,
Q239804,St. Pauli Girl,,mark | trademark,,
Q251740,Russian Standard,,alcohol brand | drink brand | trademark | alcoholic beverage,Russian Standard Corporation,
Q259865,Unibroue,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q266349,Dubonnet,,mark | trademark,,France
Q277817,Byrrh,,mark | trademark,,
Q304091,Moosehead Brewery,,food manufacturer | factory | brewery,,
Q1871906,Lav pivo,,beer brand | alcohol brand | mark | trademark,Carlsberg Group,Serbia
Q1902998,Martell,,corporate body | person or organization | group of humans | social system | complex system | organization,,
Q1915708,Mecklenburgische Brauerei Lübz,,juridical person | mark | trademark | organization | business | food manufacturer | factory | brewery,,
Q1926416,Wychwood Brewery,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q1949939,Bollinger,,corporate body | person or organization | group of humans | social system | complex system | organization,,France
Q1959068,Gulden Draak,,beer brand | alcohol brand,,Belgium
Q2028046,Ožujsko,,low fermentation beer | lager | pale lager | pilsner,Zagrebačka pivovara,Croatia
Q2039015,White Horse,,food and beverage | liquid | drink,Diageo,
Q2049508,Asia Brewery,,juridical person | organization | business,,
Q2060851,Radegast,,mark | trademark,Pivovar Radegast,Czech Republic
Q2061707,Wild Turkey,,alcohol brand | drink brand | trademark | alcoholic beverage | mark,Campari Group,United States
Q2081822,Peychaud's Bitters,,drink | alcoholic beverage,,
Q2085885,Bacardi 151,,alcohol brand | drink brand | trademark | alcoholic beverage,,
Q2099630,Birra Ichnusa,,food manufacturer | factory | brewery,Heineken International,
Q2111113,Q2111113,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q2128955,Faxe Brewery,,food manufacturer | factory | brewery,,
Q2140520,Singha,,beer brand | alcohol brand,Boon Rawd Brewery,
Q2141521,V&S Group,,juridical person | organization | business,,
Q2148593,Ricard,,drink | alcoholic beverage,,France
Q2181927,Grafenwalder,,beer brand | alcohol brand | brand | private label | mark | trademark,,
Q2189631,Karlovačka pivovara,,legal person | organization | company,,
Q2213236,Mouten Kop,,pale ale | India Pale Ale,Brewery De Graal,
Q2227967,Savanna Dry,,mark | trademark,,
Q2235019,Frysk Hynder,,alcohol brand | drink brand | trademark | alcoholic beverage,,
Q2239073,Hertog Jan,,beer brand | alcohol brand | food manufacturer | factory | brewery,,
Q2244300,Frangelico,,mark | trademark,,Italy
Q2259081,Birra Raffo,,food manufacturer | factory | brewery,,
Q2264888,Henriot,,viticulture plant | estate | winery,,
Q2292518,Ceres Brewery,,juridical person | organization | business,,
Q2295851,Tyskie,,artificial object | brand | mark | trademark,,Poland
Q2297786,Wyborowa,,alcohol brand | drink brand | trademark | alcoholic beverage,,
Q2298563,Duchesse de Bourgogne,,Oud bruin | low fermentation beer | beer in the Netherlands,Brewery Verhaeghe,
Q2300932,Martini & Rossi,,juridical person | business | organization | multinational corporation,,
Q2308687,Speight's,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q2336387,list of Champagne houses,,Wikimedia list article | Wikimedia internal item | Wikimedia article page | list,,
Q2342764,Laurent-Perrier,,corporate body | person or organization | group of humans | social system | complex system | organization,,
Q2347940,Sheridan's,,,,Ireland
Q2354390,Velebitsko,,low fermentation beer | lager,Pivovara Ličanka,Croatia
Q2354423,Zagorka,,beer brand | enterprise | alcohol brand | business,,
Q2369060,Bacardi Superior,,alcohol brand | drink brand | trademark | alcoholic beverage | rum | white rum,Bacardi,
Q2370018,Champagne Louis Roederer,,viticulture plant | estate | winery,,
Q2388771,Tripel Karmeliet,,beer brand | alcohol brand,Bosteels brewery,
Q2417742,Red Stripe,,beer brand | alcohol brand,Desnoes & Geddes,Jamaica
Q2448461,Laško Brewery,,food manufacturer | factory | brewery,,
Q2450916,Trebjesa brewery,,food manufacturer | factory | brewery,,
Q2483439,Chambord,,mark | trademark,,
Q2508768,Paddy Whiskey,,food and beverage | liquid | drink,Irish Distillers,Ireland
Q2519514,Harp Lager,,low fermentation beer | lager,,
Q2558616,Gosset,,viticulture plant | estate | winery,,
Q2578466,3 Schténg,,beer brand | alcohol brand,Brasserie Grain d'Orge (Hombourg),Belgium
Q2601227,Sinebrychoff,,juridical person | organization | business,,Finland
Q2607444,"Švyturys-Utenos alus, UAB",,juridical person | organization | business,,
Q2646636,Desperados,,beer brand | alcohol brand,Fischer Brewery,
Q2649044,Allgäuer Brewery,,microbrewery | brewery | juridical person | organization | business | enterprise | joint-stock company | public company,,
Q2661513,Belle-Vue Brewery,,lambic brewery | brewery | food manufacturer | factory,,
Q2663359,Brauerei Fohrenburg,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q2739309,Birra Menabrea,,juridical person | organization | business,,
Q2783114,list of rum producers,,Wikimedia list article | Wikimedia internal item | Wikimedia article page | list,,
Q2809884,Zötler Brewery,,food manufacturer | factory | brewery,,
Q2841250,Braulio,,mark | trademark,,Italy
Q2848187,Jillz,,drink | alcoholic beverage,,
Q2906135,Blanton's,,food and beverage | liquid | drink,Sazerac Company,Kentucky
Q2917438,Irish Mist,,drink | alcoholic beverage,,Ireland
Q2923625,Bralima Brewery,,organization | business | juridical person | food manufacturer | factory | brewery,,
Q2927641,Buffalo Trace Distillery,,whisky distillery | distillery,,
Q2932900,Caffrey's Irish Ale,,food manufacturer | factory | brewery,,
Q2944134,Celtia,,beer brand | alcohol brand,Tunisian Beverage Manufacturing Company,
Q2948611,Champagne Bricout,,viticulture plant | estate | winery,,
Q2948626,Champagne Pannier,,corporate body | person or organization | group of humans | social system | complex system | organization,,
Q2948625,Delbeck Champagne,,corporate body | person or organization | group of humans | social system | complex system | organization,,
Q2986556,Topvar,,organization | business | juridical person,,
Q2986930,Zlatý Bažant,,beer brand | alcohol brand,,Slovakia
Q3002428,Creemore Springs,,food manufacturer | factory | brewery,,
Q3007961,Cutty Sark,,alcohol brand | drink brand | trademark | alcoholic beverage,The Edrington Group,Scotland
Q3030719,Damoiseau distillery,,facility | architectural structure | factory | organization | distillery,,
Q3033748,Dogfish Head Brewery,,organization | business | juridical person | food manufacturer | factory | brewery,,
Q18712245,Fremont Brewing,,organization | business | juridical person | food manufacturer | factory | brewery,,
Q19118260,Xingu (beer),,,,
Q19278725,Early Times Distillery Company,,whisky distillery | distillery,,
Q19571193,Carlton Midstrength,,food and beverage | liquid | drink,,
Q19572232,Iron Horse Brewery,,brewpub chain | pub chain | brewpub | brewery | food manufacturer | factory,,
Q19573609,Passiona,,food and beverage | liquid | drink,Schweppes Australia,Australia
Q19605793,Tru Blu Beverages,,,,
Q19839936,Byejoe,,shaojiu | grain spirit | baijiu | artificial object | brand,,
Q19840216,Huda Beer,,,,
Q19865277,Fat Head's Brewery,,food manufacturer | factory | brewery,,
Q19877213,Power's Brewery,,food manufacturer | factory | brewery,,
Q19880203,VB Gold,,beer brand | alcohol brand,,
Q19903295,Great Leap Brewing,,brewpub chain | pub chain | brewpub | brewery,,
Q19903427,Bantam Cider,,,,
Q19903812,Chibuku Shake Shake,,food and beverage | liquid | drink,SABMiller,
Q20312697,4 Pines Brewing Company,,legal person | organization | company,,
Q20712588,Rogue Beard Beer,,beer | American wild ale,Rogue Ales,United States
Q20715368,Angry Orchard,,organization | business | juridical person | artificial object | brand,,
Q20716850,Porto Cruz,,organization | business | juridical person | artificial object | brand,,
Q20746340,Top Totty,,beer brand | alcohol brand,,
Q20871058,Hasseröder,,food manufacturer | factory | brewery,,
Q20897928,Three Coins Beer,,beer brand | alcohol brand,,Sri Lanka
Q20981674,Leopard's Leap,,organization | business | juridical person | viticulture plant | estate | winery,,
Q21003840,Alechemy,,,,
Q21003884,Drybrough & Co,,food manufacturer | factory | brewery,,
Q21030926,Monkey Shoulder,,malt whisky | blended malt whisky,William Grant & Sons,Scotland
Q21070991,Rhum Vieux Labbé,,organization | business | juridical person,,Haiti
Q21114581,Marques de Riscal,,marquisate of Spain | organization | business | Marquisate | former administrative territorial entity | historical administrative division | nobility of Spain | fiefdom | march | juridical person | señorío | house | press house,,
Q21188661,Select,,food and beverage | liquid | drink | alcoholic beverage | apéritif,,Italy
Q21196573,Rocket Republic Brewing Company,,food manufacturer | factory | brewery,,
Q21233556,Lucky Buddha Beer,,food manufacturer | factory | brewery,,
Q21621747,Cornish Orchards,,juridical person | organization | business,,
Q22000694,Cider in the United Kingdom,,aspect in a geographic region | aspect,,
Q22021774,Ashland Brewing Company,,food manufacturer | factory | brewery,,
Q22236204,Bali Hai Beer,,beer brand | alcohol brand,,Indonesia
Q22236223,Dr. McGillicuddy's,,drink brand | food brand,,
Q22236235,list of cider and perry producers in the United Kingdom,,Wikimedia list article | Wikimedia internal item | Wikimedia article page | list,,
Q22236232,Kors Vodka,,,,
Q22236239,McDowell's No.1 Celebration,,alcohol brand | drink brand | trademark | alcoholic beverage,United Spirits Limited,India
Q22236247,Murree beer,,,,Pakistan
Q22236253,Red Horse Beer,,,,Philippines
Q22236256,Romanov,,alcohol brand | drink brand | trademark | alcoholic beverage,,
Q22236267,Toussaint Coffee Liqueur,,alcohol brand | drink brand | trademark | alcoholic beverage,,Haiti
Q23461325,All or Nothing Brewhouse,,legal person | organization | company | food manufacturer | factory | brewery,,
Q23461394,Castle Lager,,low fermentation beer | lager,South African Breweries,
Q23461575,"Fromy, Rogée & Co",,juridical person | organization | business,,
Q23787604,Rhanerbräu,,food manufacturer | factory | brewery,,
Q24648499,333 Premium Export Beer,,beer brand | alcohol brand,,
Q24648510,Adrianna Vineyard,,viticulture plant | estate | winery,,
Q24648521,Stone & Wood Brewing Co.,,legal person | organization | company,,
Q24702775,Birrificio Lambrate,,food manufacturer | factory | brewery,,
Q25040514,Jolly Shandy,,,,
Q25084910,list of Heineken brands,,Wikimedia list article | Wikimedia internal item | Wikimedia article page | list,,
Q25197565,Karbach Brewing Company,,food manufacturer | factory | brewery,,
Q28127061,Santera Tequila,,,,
Q28222059,Noy,,juridical person | organization | business,,
Q28224889,Clausel,,food manufacturer | factory | brewery,,
Q28232871,Limavady Distillery,,facility | architectural structure | factory | organization | distillery,,
Q28373722,Neshaminy Creek Brewing Company,,food manufacturer | factory | brewery,,
Q28401783,Breckenridge Brewery,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q28403535,Anselme Selosse,,person | omnivore | natural person | human | Homo sapiens,,
Q2864653,Canard-Duchêne,Canard-Duchene,viticulture plant | estate | winery,,
Q2905391,Carling Black Label,Black Label,food manufacturer | factory | brewery,,
Q2915604,Patrón,Patron | Patrón Tequila | Tequila Patrón,alcohol brand | juridical person | drink brand | trademark | alcoholic beverage | artificial object | brand | mark | organization | business,,Mexico
Q27926693,Cervejas De Moçambique,"CDM, Cervejas de Mozambique, 2M",corporate body | person or organization | group of humans | social system | complex system | organization,,Mozambique
Q27972948,Laurentina,Laurentina Clara | Laurentina Premium | Laurentina Preta,commodity | beer | malt beverage | artificial object | brand | brew,,
Q2482,Jameson,Jameson Irish Whiskey,alcohol brand | whisky distillery | distillery | drink brand | trademark | alcoholic beverage,Irish Distillers | Pernod Ricard,Ireland
Q28457481,Black Star,,alcohol brand | cider brand | alcoholic fruit beverage | fermented alcoholic beverage | cider,,United Kingdom
Q28873487,Dobler Brewing Company,,legal person | organization | company,,
Q29325391,Great Northern Brewing Co.,,alcohol brand | beer brand,Carlton & United Breweries,
Q30324731,Birra Kaon,,juridical person | organization | business,,
Q30635669,Gasthof Herold,,food manufacturer | factory | brewery,,
Q30637828,Takamaka Rum,,liquor | rum,,
Q30637897,Tubi 60,,,,
Q30639195,Boll & Cie,,juridical person | organization | business,,
Q4570769,Pacífico,Pacifico,beer brand | alcohol brand,Grupo Modelo,Mexico
Q4636496,3 Hammers,Three Hammers,cider brand | alcohol brand,,
Q4683851,Adnams Southwold,Adnams | Adnams Brewery | Adnams Brewing | Adnams. Southwold,juridical person | organization | business | food manufacturer | factory | brewery,,
Q4727575,Alizé,Alize,,,
Q4865593,Barton Brands,"Barton Brands, Ltd.",distillery | whisky distillery,,
Q4882713,Belhaven Brewery,"Belhaven Brewery, Brewery Lane, Belhaven, Dunbar",brewery building | industrial building | heritage site in the United Kingdom | building | listed building,,
Q4911780,Champagne Billecart-Salmon,Billecart-Salmon,corporate body | person or organization | group of humans | social system | complex system | organization,,
Q4936449,Bodega Catena Zapata,Catena | Catena Zapata,viticulture plant | estate | winery,,
Q4936459,Bodegas Marqués de Murrieta,Bodegas Marques de Murrieta,,,
Q4975664,Brothers Cider,Brother Cider,legal person | organization | company | food manufacturer | factory | brewery,,
Q4975890,Browar Łomża,Łomża Brewery,beer brand | alcohol brand,,
Q36810482,El Namroud (Arak),El Namroud,drink | alcoholic beverage,,
Q48775068,Blackmores,BLACKMORES LIMITED,enterprise | joint-stock company | public company,,
Q4990,Ursus Breweries,Ursus | Bere Ursus | Timisoreana | Timişoreana | Timișoreana | Ursus Beer,juridical person | organization | business,,
Q3217624,Champagne Lanson,Lanson | Lanson International | Lanson Père & Fils,corporate body | person or organization | group of humans | social system | complex system | organization,,France
Q3263322,Louis XIII de Rémy Martin,Louis XIII de Remy Martin,eau-de-vie | brandy | cognac,Rémy Martin,
Q3360035,Paceña,Cerveza Paceña,alcohol brand | beer brand,,
Q3390014,Voll-Damm,Voll Damm,alcohol brand | beer brand | seasonal beer | Märzen,S.A. Damm,Spain
Q3394030,Estrella Galicia,La Estrella de Galicia,alcohol brand | beer brand,Hijos de Rivera,
Q3400389,Aston Manor Brewery,Aston Manor | Aston Manor cider | Aston Manor cyder,business | juridical person | organization,,
Q3489357,Coral,Coral beer,alcohol brand | beer brand,Madeira Brewery,
Q3638651,Bermúdez,Bermudez,mark | trademark,,
Q3753335,Destilerías y Crianza del Whisky S.A.,Destilerias y Crianza del Whisky S.A.,juridical person | organization | business,,Spain
Q3785560,Swannay Brewery,Highland Brewing Company,food manufacturer | factory | brewery,,
Q4018906,Wellpark Brewery,Tennent Caledonian | Tennent's | Tennet's Lager,juridical person | organization | business,,
Q314054,Köstritzer,,business | juridical person | organization | mark | trademark | food manufacturer | factory | brewery,,
Q323095,Einbecker Brewery,,food manufacturer | factory | brewery,,
Q323969,Ganter Brewery,,food manufacturer | factory | brewery,,
Q331630,Pilsner Urquell,,alcohol brand | beer brand | mark | trademark,Plzeňský Prazdroj,
Q332378,Absolut Vodka,,drink brand | trademark | alcoholic beverage | alcohol brand | artificial object | brand | mark,Pernod Ricard,Sweden
Q354601,Pernod Fils,,corporate body | person or organization | group of humans | social system | complex system | organization,,
Q355252,Classic Malts of Scotland,,mark | trademark,,
Q369834,Bacardi Breezer,,mark | trademark,Bacardi,Cuba
Q377626,Henninger Brewery,,mark | trademark | food manufacturer | factory | brewery,,
Q378239,Killyloch,,drink brand | trademark | alcoholic beverage | alcohol brand,,
Q384131,Cockspur Rum,,mark | trademark,,
Q387897,Duvel Moortgat Brewery,,food manufacturer | factory | brewery,,
Q390505,Boschendal,,plantation | vineyard,,
Q422034,Aktienbrauerei Kaufbeuren,,business | enterprise | joint-stock company | public company | juridical person | organization | food manufacturer | factory | brewery,,
Q448720,Rothaus,,food manufacturer | factory | brewery,,
Q454886,Lao Brewery Company,,business | juridical person | organization,,
Q460206,Holsten Brewery,,business | juridical person | organization | food manufacturer | factory | brewery,,Germany
Q460398,Mateus,,wine | wine brand | alcohol brand,,
Q478119,Amstel Brewery,,alcohol brand | beer brand | enterprise | business | juridical person | organization | food manufacturer | factory | brewery,,
Q479003,Oranjeboom,,alcohol brand | beer brand | food manufacturer | factory | brewery,,Netherlands
Q3065045,Snow beer,,business | juridical person | organization,China Resources Beer,People's Republic of China
Q3076217,Dewar's,,drink brand | trademark | alcoholic beverage | alcohol brand,Bacardi,Scotland
Q3092323,Ribena,,artificial object | brand,,United Kingdom
Q3101694,Killian's,,food and beverage | liquid | drink,MillerCoors,
Q3104602,Get 27,,alcoholic beverage | apéritif,,
Q3106774,Gini,,,,
Q3117357,Castel Group,,corporate body | person or organization | group of humans | social system | complex system | organization,,France
Q3182313,Powers,,food and beverage | liquid | drink,Irish Distillers,Ireland
Q3198359,Kokanee beer,,alcohol brand | beer brand,,
Q3231161,Les Brasseurs du Nord,,food manufacturer | factory | brewery,,
Q3246988,Albani Brewery,,alcohol brand | beer brand | business | juridical person | organization,,
Q3283355,Sisi,,business | juridical person | organization,,Netherlands
Q3297222,Zlatopramen,,beer | beer in the Czech Republic,Pivovar Krásné Březno,
Q3303595,McAuslan Brewing,,food manufacturer | factory | brewery,,
Q3304805,Ginebra San Miguel,,business | juridical person | organization,,Philippines
Q3310781,Tanduay Distillers,,business | juridical person | organization,,
Q3319676,Molson Canadian,,food and beverage | liquid | drink,Molson,
Q3319682,Molson Export,,alcohol brand | beer brand | high fermentation beer | ale,Molson,
Q3326436,Mouton Cadet,,alcoholic fruit beverage | fermented alcoholic beverage | wine,,
Q3346278,Number One,,alcohol brand | beer brand,,
Q3362172,Belikin,,alcohol brand | beer brand,,Belize
Q3365691,Monteith's,,business | juridical person | organization,,
Q3372581,John Smith's Brewery,,business | juridical person | organization | food manufacturer | factory | brewery,,
Q3402663,Prestige,,alcohol brand | beer brand,Brasserie Nationale d'Haiti,Haiti
Q3412122,Lindemans Pêcheresse,,alcohol brand | beer brand,Lindemans Brewery,Belgium
Q3467674,Xibeca,,alcohol brand | beer brand,S.A. Damm,
Q3483215,Sidi Brahim,,,,
Q3486605,Sleeman Breweries,,business | juridical person | organization,,
Q3490068,Březňák,,alcohol brand | beer brand,Pivovar Velké Březno,
Q3495663,Chopin Vodka,,drink brand | trademark | alcoholic beverage | alcohol brand,,Poland
Q3498097,Steinlager,,alcohol brand | beer brand,Lion,
Q3500299,Strela,,alcohol brand | beer brand,,
Q3502920,Herold,,beer | beer in the Czech Republic,Herold Březnice Brewery,
Q3508302,Svijany Brewery,,food manufacturer | factory | brewery,,
Q3536948,Okocim Brewery,,food manufacturer | factory | brewery,,
Q3570160,Wuliangye,,business | enterprise | joint-stock company | public company | juridical person | organization,,
Q3625571,Herkenrode Tripel,,beer | abbey beer,Cornelissen Brouwerij,Belgium
Q3640382,Birrificio Angelo Poretti,,business | juridical person | organization,,
Q3646942,Bundaberg Rum,,business | juridical person | organization | spirit drink | liquor,,Australia
Q3655801,Ferrari Spumante,,artificial object | brand,,
Q3663199,Van Pur,,business | juridical person | organization | food manufacturer | factory | brewery,,
Q3698281,Crodino,,mark | trademark,,
Q3764535,list of whisky brands,,Wikimedia internal item | Wikimedia article page | list | Wikimedia list article,,
Q3892913,"Industrias Pampero, C.A.",,juridical person | organization | business,,
Q3942865,Ruskova,,,,Russia
Q3961435,Sinclair Breweries,,juridical person | organization | business,,
Q3971125,Heineken Tarwebok,,alcohol brand | beer brand | low fermentation beer | Bock,Heineken International,Netherlands
Q3977895,Innis & Gunn,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q3981599,Tavernello,,alcoholic fruit beverage | fermented alcoholic beverage | wine | mark | trademark,,
Q4034923,Bauskas alus,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q4036833,Cēsu Alus,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q4038378,Evan Williams,,American whiskey | bourbon whiskey,Heaven Hill,United States
Q4039669,Grant's,,drink brand | trademark | alcoholic beverage | alcohol brand | whisky | Scotch whisky,William Grant & Sons,Scotland
Q4043394,MB Brewery,,juridical person | organization | business,,
Q4183744,Zagrebačka pivovara,,food manufacturer | factory | brewery,,
Q4260724,Luzhou Laojiao,,juridical person | organization | business | enterprise | joint-stock company | public company,,
Q4354009,Luksusowa vodka,,drink brand | trademark | alcoholic beverage | alcohol brand,,Poland
Q4499673,Skopsko beer,,,,
Q4546859,10 Cane,,food and beverage | liquid | drink,LVMH,
Q4553387,1792 Ridgemont Reserve,,grain spirit | whisky,Sazerac Company,United States
Q4553723,1800 Tequila,,juridical person | organization | alcohol brand | drink brand | trademark | alcoholic beverage | business,,Mexico
Q4567149,Tijuana Beer,,brewery | juridical person | organization | microbrewery | business,,
Q4569896,Rolling Rock,,beer brand | alcohol brand,,
Q4591553,Tetley's Brewery,,juridical person | organization | business,,
Q4664306,Abbotsford Invalid Stout,,beer brand | alcohol brand,,
Q4672962,Ace Cider,,juridical person | organization | business | artificial object | brand,,
Q4694715,Agwa de Bolivia,,,,
Q4711794,Alberta Premium,,,,Canada
Q4731451,Allen's Coffee Brandy,,Q12321025,,
Q4740211,Amarcord Brewery,,juridical person | organization | business,,
Q4748826,Amsterdam Brewing Company,,legal person | organization | company,,
Q4752795,Ancient Age,,food and beverage | liquid | drink,Sazerac Company,United States
Q4784766,Arbor Mist,,,,
Q4786917,Archipelago Brewery,,juridical person | organization | business,,
Q4796106,Arrow,,mark | trademark,,
