id,keyword,keyword_variants,optional,category,country,maker,extra,sources,aka
New Glarus Brewing Company,new-glarus-brewing-company,new-glarus-brewing-company|new-glarus-brewing|new-glarus,,,,,,alkohole_wikidata,
Sierra Leone Brewery Limited,sierra-leone-brewery-limited,sierra-leone-brewery-limited|sierra-leone-brewery|sierra-leone,,,,,,alkohole_wikidata,
Black Warrior Brewing Company,black-warrior-brewing-company,black-warrior-brewing-company|black-warrior-brewing|black-warrior,,,,,,alkohole_wikidata,
Pripps,pripps,pripps,,,,,,alkohole_wikidata,
Drappier Champagne,drappier-champagne,drappier-champagne,,,,,,alkohole_wikidata,
Alfred Gratien,alfred-gratien,alfred-gratien,,,,,,alkohole_wikidata,
Brarudi,brarudi,brarudi,,,,,,alkohole_wikidata,
Diamond White,diamond-white,diamond-white,cider,cider,,,,alkohole_wikidata,
Four Seasons Wines,four-seasons-wines,four-seasons-wines|four-seasons,,,,,,alkohole_wikidata,
Foolproof Brewing Company,foolproof-brewing-company,foolproof-brewing-company|foolproof-brewing|foolproof,,,,,,alkohole_wikidata,
Fuller's ESB,fullers-esb,fullers-esb,united-kingdom|fuller-s-brewery,,United Kingdom,Fuller's Brewery,,alkohole_wikidata,
London Pride,london-pride,london-pride,beer|united-kingdom|fuller-s-brewery,beer,United Kingdom,Fuller's Brewery,,alkohole_wikidata,
Organic Honey Dew,organic-honey-dew,organic-honey-dew,united-kingdom|fuller-s-brewery,,United Kingdom,Fuller's Brewery,,alkohole_wikidata,
Swaziland Beverages Ltd,swaziland-beverages-ltd,swaziland-beverages-ltd|swaziland-beverages|swaziland,,,,,,alkohole_wikidata,
Mash Brewing Company,mash-brewing-company,mash-brewing-company|mash-brewing|mash,,,,,,alkohole_wikidata,
Thunder Road Brewing Company,thunder-road-brewing-company,thunder-road-brewing-company|thunder-road-brewing|thunder-road,,,,,,alkohole_wikidata,
Controy,controy,controy,,,,,,alkohole_wikidata,
Rekorderlig,rekorderlig,rekorderlig,cider,cider,,,,alkohole_wikidata,
Brasserie Saint James,brasserie-saint-james,brasserie-saint-james|saint-james,,,,,,alkohole_wikidata,
Fiji Bitter,fiji-bitter,fiji-bitter,,,,,,alkohole_wikidata,
Vailima,vailima,vailima,,,,,,alkohole_wikidata,
Holsten Pils,holsten-pils,holsten-pils,beer,beer,,,,alkohole_wikidata,
Heinrich Reissdorf,heinrich-reissdorf,heinrich-reissdorf,,,,,,alkohole_wikidata,
Gaffel Becker & Co,gaffel-becker-co,gaffel-becker-co|gaffel-becker|gaffel-becker-and-co|gaffel-becker-and,,,,,,alkohole_wikidata,
Skol,skol,skol,beer|scotland,beer,Scotland,,,alkohole_wikidata,
Jupiler,jupiler,jupiler,beer|belgium,beer,Belgium,,,alkohole_wikidata,
Champagne Salon,champagne-salon,champagne-salon|salon,,,,,,alkohole_wikidata,
Macieira Bebida Espirituosa,macieira-bebida-espirituosa,macieira-bebida-espirituosa,,,,,,alkohole_wikidata,
Fürstenberg Brewery,furstenberg-brewery,furstenberg-brewery|furstenberg,,,,,,alkohole_wikidata,
Borsod Brewery,borsod-brewery,borsod-brewery|borsod,,,,,,alkohole_wikidata,
Dortmunder Export,dortmunder-export,dortmunder-export,beer,beer,,,,alkohole_wikidata,
Karlovačko,karlovacko,karlovacko,beer,beer,,,,alkohole_wikidata,
Murphy's Irish Stout,murphys-irish-stout,murphys-irish-stout,beer,beer,,,,alkohole_wikidata,
Grimbergen,grimbergen,grimbergen,beer|belgium|grimbergen-abbey-brewery|kronenbourg-brewery,beer,Belgium,Grimbergen Abbey Brewery|Kronenbourg Brewery|Alken-Maes,,alkohole_wikidata,
Lvivske,lvivske,lvivske,,,,,,alkohole_wikidata,
Kingfisher,kingfisher,kingfisher,beer|india,beer,India,,,alkohole_wikidata,
Taybeh Brewery,taybeh-brewery,taybeh-brewery|taybeh,,,,,,alkohole_wikidata,
Super Bock,super-bock,super-bock,,,,,,alkohole_wikidata,
Harbin Brewery,harbin-brewery,harbin-brewery|harbin,,,,,,alkohole_wikidata,
Herzoglich Bayerisches Brauhaus Tegernsee,herzoglich-bayerisches-brauhaus-tegernsee,herzoglich-bayerisches-brauhaus-tegernsee,,,,,,alkohole_wikidata,
Hofbrauhaus Arolsen,hofbrauhaus-arolsen,hofbrauhaus-arolsen,,,,,,alkohole_wikidata,
Ramlösa,ramlosa,ramlosa,,,,,,alkohole_wikidata,
Wódka Żołądkowa Gorzka,wodka-zoladkowa-gorzka,wodka-zoladkowa-gorzka,vodka|polmos-bialystok,vodka,,Polmos Białystok,,alkohole_wikidata,
Saku Brewery,saku-brewery,saku-brewery|saku,,,,,,alkohole_wikidata,
Vega Sicilia,vega-sicilia,vega-sicilia,,,,,,alkohole_wikidata,
Tiger Beer,tiger-beer,tiger-beer,asia-pacific-breweries,beer,,Asia Pacific Breweries,,alkohole_wikidata,
Kilbeggan Distillery,kilbeggan-distillery,kilbeggan-distillery|kilbeggan,whisky,whisky,,,,alkohole_wikidata,
New Belgium Brewing Company,new-belgium-brewing-company,new-belgium-brewing-company|new-belgium-brewing|new-belgium,,,,,,alkohole_wikidata,
Great Basin Brewing Company,great-basin-brewing-company,great-basin-brewing-company|great-basin-brewing|great-basin,,,,,,alkohole_wikidata,
Redhook Ale Brewery,redhook-ale-brewery,redhook-ale-brewery|redhook-ale,,,,,,alkohole_wikidata,
Jacob Leinenkugel Brewing Company,jacob-leinenkugel-brewing-company,jacob-leinenkugel-brewing-company|jacob-leinenkugel-brewing|jacob-leinenkugel,,,,,,alkohole_wikidata,
Safir,safir,safir,beer|q2426372,beer,,Q2426372,,alkohole_wikidata,
Happy Joe,happy-joe,happy-joe,cider|finland|hartwall,cider,Finland,Hartwall,,alkohole_wikidata,
Bootleg Brewery,bootleg-brewery,bootleg-brewery|bootleg,,,,,,alkohole_wikidata,
Isle of Barra distillery,isle-of-barra-distillery,isle-of-barra-distillery|isle-of-barra,,,,,,alkohole_wikidata,
McCashins Brewery,mccashins-brewery,mccashins-brewery|mccashins,,,,,,alkohole_wikidata,
Union Brewery,union-brewery,union-brewery|union,,,,,,alkohole_wikidata,
Pivovar Ostravar,pivovar-ostravar,pivovar-ostravar,,,,,,alkohole_wikidata,
Kinmen Distillery,kinmen-distillery,kinmen-distillery|kinmen,,,,,,alkohole_wikidata,
Beijing Red Star Company Limited,beijing-red-star-company-limited,beijing-red-star-company-limited|beijing-red-star-company|beijing-red-star,,,,,,alkohole_wikidata,
Château du Vigneau,chateau-du-vigneau,chateau-du-vigneau,,,,,,alkohole_wikidata,
After Dark,after-dark,after-dark,india|radico-khaitan,,India,Radico Khaitan,,alkohole_wikidata,
Champagne Binet,champagne-binet,champagne-binet|binet,,champagne,,,,alkohole_wikidata,
James Boag's Premium,james-boags-premium,james-boags-premium,beer|tasmania|boag-s-brewery,beer,Tasmania,Boag's Brewery,,alkohole_wikidata,
Devassa by Playboy,devassa-by-playboy,devassa-by-playboy,beer,beer,,,,alkohole_wikidata,
Lucky Lager,lucky-lager,lucky-lager,,,,,,alkohole_wikidata,
100 Pipers,100-pipers,100-pipers,whisky|whiskey|scotch|scotland|pernod-ricard,whisky|whiskey|scotch,Scotland,Pernod Ricard,,alkohole_wikidata,
Vin Mariani,vin-mariani,vin-mariani,wine,wine,,,,alkohole_wikidata,
Jelen pivo,jelen-pivo,jelen-pivo,,,,,,alkohole_wikidata,
Tequila Herradura,tequila-herradura,tequila-herradura,,,,,,alkohole_wikidata,
Kaiser Bräu,kaiser-brau,kaiser-brau|kaiser,,,,,,alkohole_wikidata,
Waldhaus,waldhaus,waldhaus,,,,,,alkohole_wikidata,
